,id,original_title,popularity,release_date,title,vote_average,vote_count
1952,19067,The Duellists,7.181,1977-08-31,The Duellists,7.3,388
1953,651881,Adieu les cons,6.653,2020-10-21,Bye Bye Morons,7.3,613
1954,318121,The Fundamentals of Caring,10.973,2016-06-16,The Fundamentals of Caring,7.3,1911
1955,57361,황해,10.808,2010-12-22,The Yellow Sea,7.3,360
1956,21956,Scooby-Doo! and the Monster of Mexico,28.438,2003-09-30,Scooby-Doo! and the Monster of Mexico,7.3,255
1957,13008,An American Crime,11.931,2007-07-27,An American Crime,7.3,517
1958,58,Pirates of the Caribbean: Dead Man's Chest,214.509,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,7.3,13563
1959,228194,The Hundred-Foot Journey,11.769,2014-08-06,The Hundred-Foot Journey,7.3,1216
1960,42726,Un homme et une femme,7.483,1966-05-27,A Man and a Woman,7.3,202
1961,15384,赤壁2：決戰天下,11.07,2009-01-07,Red Cliff Part II,7.3,353
1962,11963,Three Days of the Condor,12.125,1975-09-24,Three Days of the Condor,7.3,828
1963,4543,The Meaning of Life,12.118,1983-03-31,The Meaning of Life,7.3,1475
1964,2759,"The Adventures of Priscilla, Queen of the Desert",9.534,1994-05-31,"The Adventures of Priscilla, Queen of the Desert",7.3,600
1965,134,"O Brother, Where Art Thou?",22.7,2000-08-30,"O Brother, Where Art Thou?",7.3,3342
1966,403450,In guerra per amore,6.077,2016-10-27,At War for Love,7.3,470
1967,79120,Weekend,8.275,2011-09-22,Weekend,7.3,437
1968,21484,Possession,21.522,1981-05-27,Possession,7.3,696
1969,20312,Interstate 60,28.458,2002-04-13,Interstate 60,7.3,497
1970,850,A Christmas Story,10.704,1983-11-18,A Christmas Story,7.3,961
1971,590,The Hours,10.169,2002-12-27,The Hours,7.3,1366
1972,13189,A Christmas Carol,10.355,1984-10-09,A Christmas Carol,7.3,250
1973,594,The Terminal,27.141,2004-06-17,The Terminal,7.3,6460
1974,140607,Star Wars: The Force Awakens,104.819,2015-12-15,Star Wars: The Force Awakens,7.3,17091
1975,38142,秒速5センチメートル,37.126,2007-03-03,5 Centimeters per Second,7.3,1508
1976,11230,醉拳,21.005,1978-10-05,Drunken Master,7.3,702
1977,866,Finding Neverland,15.149,2004-10-17,Finding Neverland,7.3,3128
1978,77016,End of Watch,15.107,2012-09-20,End of Watch,7.3,2630
1979,40180,Peur sur la ville,8.365,1975-04-09,Fear Over the City,7.3,200
1980,10669,Deliverance,12.948,1972-08-18,Deliverance,7.3,1208
1981,9550,十面埋伏,13.041,2004-05-19,House of Flying Daggers,7.3,1267
1982,65229,Tomboy,9.071,2011-04-20,Tomboy,7.3,552
1983,14675,The Awful Truth,5.104,1937-10-20,The Awful Truth,7.3,207
1984,82690,Wreck-It Ralph,125.267,2012-01-01,Wreck-It Ralph,7.3,10700
